epoch,class_id,class_name,precision,recall_sensitivity,specificity,f1
22,0,glioma,1.0,1.0,1.0,1.0
22,1,meningioma,0.990909090909091,1.0,0.9973614775725593,0.995433789954338
22,2,no_tumor,1.0,1.0,1.0,1.0
22,3,pituitary,1.0,0.9918032786885246,1.0,0.9958847736625513
23,0,glioma,1.0,1.0,1.0,1.0
23,1,meningioma,0.9819819819819819,1.0,0.9947229551451188,0.9909090909090909
23,2,no_tumor,1.0,1.0,1.0,1.0
23,3,pituitary,1.0,0.9836065573770492,1.0,0.9917355371900827
24,0,glioma,1.0,1.0,1.0,1.0
24,1,meningioma,0.990909090909091,1.0,0.9973614775725593,0.995433789954338
24,2,no_tumor,1.0,1.0,1.0,1.0
24,3,pituitary,1.0,0.9918032786885246,1.0,0.9958847736625513
25,0,glioma,1.0,1.0,1.0,1.0
