epoch,class_id,class_name,precision,recall_sensitivity,specificity,f1
16,3,pituitary,0.9859154929577465,0.9915014164305949,0.9953959484346224,0.9887005649717514
17,0,glioma,0.9919786096256684,0.9946380697050938,0.9971857410881801,0.9933065595716197
17,1,meningioma,0.9900990099009901,0.974025974025974,0.9973474801061007,0.9819967266775778
17,2,no_tumor,1.0,0.9901234567901235,1.0,0.9950372208436724
17,3,pituitary,0.9722991689750693,0.9943342776203966,0.990791896869245,0.9831932773109244
18,0,glioma,0.9919786096256684,0.9946380697050938,0.9971857410881801,0.9933065595716197
18,1,meningioma,0.9839228295819936,0.9935064935064936,0.995579133510168,0.9886914378029079
18,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
18,3,pituitary,0.9971509971509972,0.9915014164305949,0.9990791896869244,0.9943181818181818
19,0,glioma,0.9866666666666667,0.9919571045576407,0.9953095684803002,0.9893048128342247
